French: je m'ennuie = English: I'm bored.	Est-ce que c'est votre chien qui vient de rentrer par là ?	C'est votre chien qui est juste entré par là?
English: I know a very good recipe for garlic soup which uses forty cloves = French: Je connais une très bonne recette de soupe à l'ail qui utilise quarante clous de girofle.	Qu'est-ce qu'il fait dans l'aquarium ?	Qu'est-ce qu'il fait dans l'aquarium?
English: Although I warn you, I'm not a very good singer. = French: Mais je vous préviens, je ne suis pas une bonne chanteuse.	Soit c'est le coup que j'ai reçu sur la tête, soit vous avez mangé beaucoup trop de champignons !	C'est soit le coup sur la tête que j'ai reçu ou vous avez mangé trop de champignons!
English: There are fishermen wading in the river as well but they need to watch out for snapping turtles. = French: Il y a aussi des pêcheurs qui pataugent dans la rivière, mais ils doivent faire attention aux tortues serpentines.	Il ne reste pas beaucoup de temps avant l'examen et j'espère que vous obtiendrez de bons résultats.	Il ne reste plus beaucoup de temps pour l'examen et j'espère que vous aurez de très bons résultats.
English: You mean a raise? = French: Vous voulez dire une augmentation ?	Oh non, j'ai l'impression qu'on est perdus et il commence à faire sombre.	Oh non, je pense que nous sommes perdus et il commence à faire sombre.
French: Je vais aller chercher mon livre de science-fiction. = English: I'm going to go get my science fiction book.	Je viens de déjeuner mais est-ce que tu veux que je demande à quelqu'un de t'apporter une tasse de thé ou de café ?	Je viens de déjeuner mais est-ce que vous voulez que je demande à quelqu'un de vous apporter un café ou un thé?
French: Veux tu un peu de thé ou du café ? = English: Would you like some tea or coffee?	Une sélection de 30 mini-burgers, chacun avec une combinaison différente de fromage et de viande.	une sélection de 30 mini burgers, chacun avec sa propre combinaison unique de fromage et de viande
English: Really? = French: Vraiment ?	J'ai faim et là il est trop tard pour cuisiner.	Je suis affamé et il est trop tard pour cuisiner.
English: I've only got this half-eaten cheese sandwich in my hand. = French: J'ai seulement ce sandwich à moitié mangé dans la main.	Je trouve que dormir peut être très efficace aussi !	Je trouve que dormir peut être aussi efficace!
English: It started this year. = French: Ça a commencé cette année.	Déjà mon train était en retard, donc quand il est arrivé il était plein et il ne restait aucun siège de libre.	D'abord le train était en retard donc quand il est arrivé il était plein et il n'y avait plus de place.
English: Lots of guests, lots of speakers! = French: Beaucoup d'invités, beaucoup d'orateurs !	Discrimination envers les alcooliques !	Discrimination contre les alcooliques !
English: What a pair we are! = French: On fait la paire !	Oui, il devrait y avoir quelqu'un.	Il devrait y avoir quelqu'un là.
English: The reason they are cruel to him is because he wears glasses. = French: La raison pour laquelle ils sont cruels est qu'il porte des lunettes.	C'est une chanson de Lesly Gore, des années 1960, tu devrais l'écouter sur YouTube.	C'est une chanson de Lesley Gore des années 1960, vous devriez l'écouter sur youtube.
English: No your son! = French: Non, ton fils !	Et merci d'avoir proposé de faire un gâteau, je suis sûre qu'il sera magnifique.	et merci pour l'offre de faire un gâteau, je suis sûr qu'il sera magnifique
English: What a dream job = French: Quel travail de rêve !	Même si elles le sont, les autres devraient être plus sympathiques.	Bien que ce soient des gens, ils devraient être plus sympathiques.
English: That's fine. = French: Très bien.	J'espère que non !	J'espère que non.
French: d'où la necessité du café, et du mojito.... = English: Hence the coffee and the mojito...	Comme on dit, le client a toujours raison.	comme on dit, le client est toujours roi.
French: Oui, je prends très souvent l'avion. = English: Yes, I fly very often.	J'habite là-bas.	J'habite là-bas.
English: No, maybe I'm just paranoid. = French: Non, je suis peut-être seulement paranoïaque.	Vous voulez dire qu'il est là aussi ?	Vous voulez dire qu'il est là aussi?
French: J'ai l'impression que le personnel n'est pas assez nombreux. = English: I don't feel there's enough staff.	Est-ce que j'ai la bonne date ?	Est-ce que j'ai la bonne date?
English: I'm not usually organised but I remembered the basics this time. = French: Je ne suis généralement pas bien organisée mais je me suis rappelée des bases cette fois-ci.	C'est pas juste.	Ce n'est pas juste.
French: Non, mais justement, les ingénieurs qui font les avions savent ce qu'ils font! = English: No, but exactly... the engineers who make the planes know what they're doing.	Pourquoi est-ce qu'on apprend l'histoire ?	Pourquoi on apprend l'Histoire?
French: Je crois qu'il s'appelle "Le roi de l'étang", mais je ne suis pas bien sûr. = English: I think it's called “King of the Pond”, but I'm not sure.	Ou vous pouvez prendre quelque chose de plus consistant.	Ou vous pourriez avoir quelque chose de plus substantiel
English: Tell me, are you able to do your work with confidence, or do you feel unable to reach the expected targets? = French: Dites-moi, êtes-vous capable de faire votre travail en toute confiance, ou est-ce que vous vous sentez incapable d'atteindre les objectifs qu'on attend de vous ?	Désolée chef !	Désolé Chef !
English: I do! = French: Oui !	Pourquoi pas commander de la nourriture thaï à ce restaurant ?	Qu'en pensez-vous?
English: We're safe! = French: Nous sommes sauvées !	Que veux-tu dire par la limite thaï ?	Qu'est-ce que vous voulez dire par la limite thaïlandaise?
French: Pêche sous marine, promenades en bateau...? = English: Underwater fishing, boat trips...?	Il est plein ?	Est-ce complet?
English: My doctor has given me some pills to calm me down but they don't seem to be working. = French: Mon docteur m'a donné des pilules pour me calmer mais elles n'ont pas l'air de marcher.	Tu as entendu parler de Spotify ?	Connaissez-vous Spotify?
French: Ah, ça y est. = English: Ah, there we go.	Merci aussi !	Merci aussi!
English: Great! = French: Super !	J'ai beaucoup de devoirs donnés par d'autres professeurs et j'ai aussi un voyage de hockey sur cette période.	J'ai beaucoup de dates limites de la part d'autres professeurs et j'ai un voyage de hockey pour une partie de ce temps.
French: Peut être pourrions nous le faire mariner dans du citron, et avec un peu d'huile d'olive ? = English: Perhaps we could marinate it in lemon and with a bit of olive oil?	Nous les servirons sur un lit d'épinards blanchis et avec des haricots verts à part.	Nous les servirons sur un lit de feuilles d'épinards et avec des haricots verts sur le côté.
French: Comment vous sentez-vous aujourd'hui? = English: How do you feel today?	Oui, je pense que ma mère m'attend.	oui je pense que ma mère m'attend
English: Our office is on the four hundredth floor and I have to take the stairs every day. = French: Nos bureaux sont au quatre-centième étage et je dois prendre les escaliers chaque jour.	Je regrette de n'avoir pas pris les escaliers.	J'aurais aimé avoir grimpé les escaliers.
English: You know, an excellent way to improve work relationships is to organise an informal gathering. = French: Vous savez, une excellente façon d'améliorer les relations au travail est d'organiser un événement informel.	Pour l'instant je vis avec mon frère, j'ai envie d'abandonner l'enseignement des maths et de danser à plein temps.	Pour l'instant, je vis avec mon frère, je veux quitter l'enseignement des mathématiques et danser à plein temps.
English: I'll send it over to you as soon as it's finished. = French: Je vous l'enverrai dès que je l'aurai finie.	On pourrait les inviter.	Nous pouvons les inviter.
English: Put your phone away please it is not hygienic in the kitchen = French: Mets ton téléphone ailleurs, ce n'est pas hygiénique dans la cuisine.	Oui, c'est un complot répandu par les entreprises qui produisent des crackers et des biscuits.	Oui, c'est une conspiration répandue par les entreprises qui produisent des biscuits et des crackers.
English: I'm just enjoying the beautiful weather and the calm breeze. = French: Je profite simplement du beau temps et de cette petite brise.	Mais les vegans, eh bien, je pense que quand on est aussi pénible, on doit apporter sa propre nourriture.	Mais les végétaliens, je pense que si quelqu'un est si pointilleux, il devrait faire ses propres arrangements!
English: i'll put the order through = French: Je vais transmettre votre commande.	C'est bien ça ?	C'est ça?
French: Un traumatisme refoulé peut être ? = English: A hidden trauma perhaps?	Merci.	Merci.
French: C'est vrai qu'il fait très chaud.... = English: It is very hot...	Comment est-ce que vous avez l'impression que vous vous en sortez avec vos révisions pour le contrôle de maths ?	Comment vous sentez-vous avec vos révisions de maths pour l'examen?
English: Perhaps I should eat something as well. = French: Je devrais peut-être aussi manger quelque chose.	Qu'est-ce qui se passe dans ces rêves que vous faites ?	Qu'est-ce qui se passe dans ces rêves?
English: The pigeons also come later and eat the bread crumbs that are dropped on the river bank. = French: Ensuite les pigeons arrivent et mangent les miettes de pain qui sont tombées sur la rive.	Je voulais vous demander – voulez-vous un peu de glace ?	Je voulais te demander - tu veux de la glace?
English: And don't worry about the clothes. = French: Et ne vous inquiétez pas pour vos vêtements.	Je vais bien, je trouve certains des autres résidents un peu énervants.	Je vais bien, je trouve que certains des autres résidents sont un peu agaçants.
English: And the map. = French: Et la carte.	Je me disais bien qu'elle avait l'air enflée.	Je croyais
English: There were a few. = French: Il y en avait pas mal.	Tu as proposé à ce prof mignon ?	Est-ce que tu as demandé à ce bel homme?
French: Non, dans l'espace, en fait, c'est plutôt comme dans un sous-marin. = English: No, in fact in space it's more like in a submarine.	Alors Ali, comment vous intégrez-vous dans l'entreprise ?	Alors Ali comment ça se passe au travail?
French: Il n'y a vraiment plus personne sur qui on peut compter dans ce bâtiment! = English: You really can't count on anyone in this building anymore!	Ensuite je me suis aperçu que j'avais pris tes lunettes et pas les miennes.	Alors je me suis rendu compte que j'avais pris tes lunettes et pas les miennes.
French: L'avantage avec une opération c'est que vous dormez pendant ! = English: The advantage of an operation is that you're asleep during it!	Ce serait merveilleux, merci.	Ce serait formidable, merci
French: Désolé. = English: Sorry.	Je vais juste en couper quelques unes et te montrer.	Je vais juste couper un couple et vous montrer
French: Elle va vous apporter un verre d'eau. = English: She'll bring you a glass of water.	Sinon on pourrait être perdues ici pour toujours.	Ou on pourrait être perdus ici pour toujours.
