French: avec plaisir! = English: With pleasure!	Do you have any specific ideas?	Did you have any ideas already?
French:  = English: 	Hello!	Hello!
French: J'ai une assistante pour ça. = English: I have an assistant to do that.	Well, we'll just have to wait until somebody realises that the lift's out of order and goes to get somebody.	Well, we will have to wait for someone to understand that the elevator is out of order, and to call someone.
French: Malheureusement il sentait fort toute la journée ! = English: Unfortunately he stank of body odour all day!!	Yes, you're right.	Yes, you are right.
French: Il est sans emploi en ce moment et il ne fait pas beaucoup d'efforts pour trouver du travail. = English: He's unemployed at the moment and isn't making much effort to get a new job.	I understand.	I understand
French: J'ai une lampe de poche. = English: I have a torch.	That's something at least...	It's better than nothing.
French: mais l'agenda n'est pas pratique = English: Yes, but the timetable isn't practical.	I missed several of your classes because it was nap time.	I missed several of your classes because it was nap time.
French: Je suis d'accord. = English: I agree.	Right, we can also provide raw vegetables. Everybody likes them.	Okay, we'll also have some raw vegetables, that always goes down well.
French: J'espère que vous pourrez revenir bientôt. = English: I hope you can come again soon.	It was really really lovely to see you too.	It made me very very happy too.
French: Prenez la bouteille de vin rouge dans votre autre main. = English: Grab the bottle of red in your other hand	Ok, you've talked me round.	Okay, you convinced me.
French: J'aimerai bien visiter Hawai ! = English: I would like to go to visit Hawaii!	And where are you going to live now?	And where are you going to live now?
French: Je m'appelle Mathilde. = English: I'm called Mathilda.	Do you live around here?	Do you live in the area?
French: Nous travaillons tous beaucoup, surtout en ce moment, pour préparer cet événement. = English: We're all working a lot, especially at the moment, to prepare for this event.	I hope you can take a few days off after our feedback meetings and enjoy some time with your family.	I hope you can take some time off after our debriefing meetings and enjoy your family.
French: Je viens souvent ici lire. = English: I often come to read here.	To look at the ducks, pretty girls too... What kind of work do you do from home?	Watch the ducks, the pretty girls too.... What do you do at home?
French: avec un fond musical de jazz très agréable = English: With really nice jazz background music.	And they do excellent meals.	And their food is excellent!
French: Vous devriez mettre de côté Facebook et les autres réseaux sociaux qui vous déconcentrent et n'y accéder qu'après avoir fini vos devoirs. = English: You should put Facebook and any other diverting social media sites away and only get on to them when you finish your homework	I don't use Facebook.	I don't go on Facebook
French: Partez, prenez deux jeunes enfants avec vous, sautez, je reste ici. = English: Go! Take two young children with you! Jump! I'm staying here.	All I ask is to be able to keep the bottle of red wine.	The only thing I ask you is to keep the bottle of red wine.
French: Par contre, je capte un petit peu. = English: Although I do have a bit of signal.	I'll try to send a text to our colleague on reception.	I try to send a text message to the receptionist's colleague.
French: Les moustaches, c'est ce que certains hommes portent entre la bouche et le nez. = English: Moustaches are what certain men wear between their mouths and noses.	And cats, whatever their gender, have whiskers they use to find their way around a room.	And cats, regardless of their gender, have moustaches that they use to navigate a room.
French: Vous pensez que votre chien aimera la tarte au poulet ? = English: Do you think your dog would like chicken tart?	Not sure.	Not sure.
French:  = English: 	Hello, can I get you something?	Hello, can I get you something?
French: C'est n'importe quoi. = English: What a lot of nonsense.	You!	You!
French:  = English: 	Hi Caroline, aren't you a bit bored here?	Hello Caroline, are you not a little bored here?
French: Je sais que je ne devrais pas vous le dire, ceci dit... = English: I know I shouldn't be saying this to you though...	I'll think about what you've just said.	I'm going to think about what you just told me.
French: J'ai ramené en particulier de très belles pierres. = English: I brought back in particular some very beautiful stones.	Are you interested in mineralogy?	Do you like mineralogy?
French: Tu as un vrai penchant pour le jeu et la boisson. = English: You do like to gamble and drink a lot	Yes, they're my small pleasures.	Yes, these are my little pleasures
French: Elle permet de comprendre le présent et de préparer l'avenir en étudiant le passé. = English: Through it you can understand the present and prepare for the future by studying the past.	And it's part of any educated person's general knowledge.	And then it is part of the general culture of any educated person.
French: C'est votre chouchou! = English: He's your favourite.	He always gets better marks than me, even if he writes any old rubbish.	He always gets better grades than me even if he writes anything.
French: J'ai besoin d'un vrai mec capable de s'occuper convenablement de son partenaire, pas d'un malade à moitié impuissant qui vas se satisfaire avec des images de bandes dessinées. = English: I need a real man capable of taking adequate care of his partner, not a half impotent moron who satisfies himself with his cartoon images.	You're already dimensionally handicapped.	You are already handicapped by the dimension
French: Vous devriez vous renseigner, car produire des ordinateurs et des iPads est très polluant. = English: You should look into it, because manufacturing computers and iPads creates a lot of pollution.	Whereas paper can be manufactured in an environmentally friendly way, by replanting trees.	While paper can be produced in a way that is environmentally friendly, by replanting trees.
